Title,Year,Authors,Included_(Y=yes_N=No),Comments
Complex V Disorders,2016,"Tarnopolsky, M.; Alshahoumi, R.",N,The study does not mention air pollutants or Parkinson's as an adverse health outcome.
Computational Advances of Protein/Neurotransmitter-membrane Interactions Involved in Vesicle Fusion and Neurotransmitter Release,2023,"Xue, M.; Cao, Y.; Shen, C.; Guo, W.",N,"The article does not mention air pollutants or Parkinson's disease, focusing instead on neurotransmitter interactions."
Conclusions and future prospects of plant-based essential oils,2025,"Naeem, M.; Aftab, T.; Khan, M.M.A.",N,"The article does not mention air pollutants or Parkinson's disease, focusing instead on essential oils and their applications."
Consequences of developmental exposure to concentrated ambient ultrafine particle air pollution combined with the adult paraquat and maneb model of the Parkinson's disease phenotype in male mice,2014,"Allen, Joshua L.; Liu, Xiufang; Weston, Douglas; Conrad, Katherine; Oberdörster, Günter; Cory-Slechta, Deborah A.",N,"Study focuses on mice, not human population does not meet observational study criteria."
Contribution of Solar Radiation and Pollution to Parkinson’s Disease,2023,"Karakis, I.; Yarza, S.; Zlotnik, Y.; Ifergane, G.; Kloog, I.; Grant-Sasson, K.; Novack, L.",Y,"The study mentions Parkinson's disease and ozone as an air pollutant, meeting all inclusion criteria."
Creatine supplementation with exercise reduces α-synuclein oligomerization and necroptosis in Parkinson's disease mouse model,2024,"Leem, Y.-H.; Park, J.-S.; Park, J.-E.; Kim, D.-Y.; Kim, H.-S.",N,The study is based on a mouse model and does not involve human populations or air pollutants.
Critical role of FOXO3a in carcinogenesis,2018,"Liu, Y.; Ao, X.; Ding, W.; Murugavel, M.; Wu, W.; Hao, X.; Yu, W.; Wang, Y.; Li, P.; Wang, J.",N,"The article does not mention air pollutants or Parkinson's disease, focusing instead on FOXO3a and cancer."
Cropland associated with risk of Parkinson's disease in the northern Great Plains,2025,"Krzyzanowski, Brittany; Beyene, Kassu M.; Nielsen, Susan Searles; Killion, Jordan A.; Racette, Brad A.",N,"No air pollutants CO, O3, NO2 mentioned only discusses cropland and PM2.5."
Cross species extrapolation in neurotoxicology: Neurophysiological and neurobehavioral aspects,1992,"Winneke, G.",N,The study does not mention Parkinson's or link it to air pollutants.
Current advances in the detection of neurotransmitters by nanomaterials: An update,2020,"Arumugasamy, S.K.; Chellasamy, G.; Gopi, S.; Govindaraju, S.; Yun, K.",N,The article does not mention any air pollutants or link Parkinson's to them.
Current evidence for the association between air pollution and Parkinson's disease,2022,"Saitoh, Y.; Mizusawa, H.",N,The article is a review and does not present original observational study data.
Current understandings and perspectives of petroleum hydrocarbons in Alzheimer's disease and Parkinson's disease: a global concern,2022,"Rajendran, Rajalakshmi; Ragavan, Roshni Pushpa; Al-Sehemi, Abdullah G.; Uddin, Md Sahab; Aleya, Lotfi; Mathew, Bijo",N,"No air pollutants CO, O3, NO2 mentioned focuses on hydrocarbons and is a review."
Degradation of cyanobacterial neurotoxin β-N-methylamino-l-alanine (BMAA) using ozone process: influencing factors and mechanism,2023,"Yan, B.; Han, C.; Liu, Z.; Wu, G.; Wang, S.; Li, J.; Xia, W.; Cui, F.",N,The study does not mention Parkinson's as an adverse health outcome related to air pollutants.
Delayed encephalopathy after carbon monoxide intoxication - Long-term prognosis and correlation of clinical manifestations and neuroimages,2004,"Hsiao, C.-L.; Kuo, H.-C.; Huang, C.-C.",N,"The study focuses on delayed encephalopathy after CO intoxication, not explicitly linking Parkinson's as an adverse health outcome."
Delayed encephalopathy of carbon monoxide intoxication and treatment with hyperbaric oxygen: A case report,2012,"Polat, F.; Yüceyar, N.; Akay, A.; Kocaman Saǧduyu, A.S.",N,"The study is a case report, not an observational study, and does not link Parkinson's to air pollution."
Delayed movement disorders after carbon monoxide poisoning,1999,"Choi, I.S.; Cheon, H.Y.",Y,The study discusses carbon monoxide and explicitly mentions parkinsonism as a delayed movement disorder related to CO poisoning.
Delayed neuropsychiatric syndrome after carbon monoxide poisoning,2024,"Gustavsen, Ingebjørg; Gustavsen, Willy Rein; Gajdzik, Tomasz; Solyga, Volker Moræus",N,"The study focuses on delayed neuropsychiatric syndrome after CO poisoning, not explicitly linking Parkinson's as an adverse health outcome."
Delayed parkinsonism after CO intoxication: Evaluation of the substantia nigra with inversion-recovery MR imaging,2012,"Kao, H.-W.; Cho, N.-Y.; Hsueh, C.-J.; Chou, M.-C.; Chung, H.-W.; Liou, M.; Chiang, S.-W.; Chen, S.-Y.; Juan, C.-J.; Huang, G.-S.; Chen, C.-Y.",Y,"The study investigates Parkinson's related to CO exposure, meeting all inclusion criteria."
Delayed-onset progressive movement disorders after static brain lesions,1996,"Scott, B.L.; Jankovic, J.",N,The study does not explicitly mention Parkinson's as an adverse health outcome related to air pollution.
Depolymerization of chromophoric natural organic matter,2004,"Thomson, James; Parkinson, Adele; Roddick, Felicity A.",N,The study does not mention Parkinson's disease or any of the specified air pollutants.
Derivation of an inhalation reference concentration based upon olfactory neuronal loss in male rats following subchronic acetaldehyde inhalation,2008,"Dorman, David C.; Struve, Melanie F.; Wong, Brian A.; Gross, Elizabeth A.; Parkinson, Carl; Willson, Gabrielle A.; Tan, Yu-Mei; Campbell, Jerry L.; Teeguarden, Justin G.; Clewell, Harvey J. 3rd; Andersen, Melvin E.",N,"The study focuses on acetaldehyde, not the specified air pollutants CO, O3, NO2 or Parkinson's disease."
Development of In Vitro Parkinson's Disease Model Mediated by MPP+ and α-Synuclein Using Wharton's Jelly Mesenchymal Stem Cells,2025,"Gamit, N.; Patil, M.; Soumya, B.S.; Dharmarajan, A.; Warrier, S.",N,The study is an in vitro model and does not involve human populations or observational studies.
"Developmental exposure to diesel exhaust upregulates transcription factor expression, decreases hippocampal neurogenesis, and alters cortical lamina organization: relevance to neurodevelopmental disorders",2020,"Cole, Toby B.; Chang, Yu-Chi; Dao, Khoi; Daza, Ray; Hevner, Robert; Costa, Lucio G.",N,"No relevant air pollutants CO, O3, NO2 mentioned focuses on diesel exhaust and neurodevelopmental disorders."
Diagnostic approach in patients with symmetric imaging lesions of the deep gray nuclei,2003,"Finelli, P.F.; DiMario, F.J.",N,The study does not mention air pollutants or Parkinson's as an adverse health outcome.
Diesel exhaust exposure alters the expression of networks implicated in neurodegeneration in zebrafish brains,2023,"Jami, M. Saeid; Murata, Hiromi; Barnhill, Lisa M.; Li, Sharon; Bronstein, Jeff M.",N,No specific mention of Parkinson's as an adverse health outcome related to air pollutants.
Diesel Exhaust Extract Exposure Induces Neuronal Toxicity by Disrupting Autophagy,2020,"Barnhill, Lisa M.; Khuansuwan, Sataree; Juarez, Daniel; Murata, Hiromi; Araujo, Jesus A.; Bronstein, Jeff M.",N,No specific mention of Parkinson's as an adverse health outcome related to air pollutants.
Dietary nicotine intake and risk of Parkinson disease: a prospective study,2020,"Ma, Chaoran; Molsberry, Samantha; Li, Yanping; Schwarzschild, Michael; Ascherio, Alberto; Gao, Xiang",N,The study does not mention any air pollutants related to Parkinson's disease.
Different neurological conditions between urban and rural samples from central Colombia,2012,"Habeych, Miguel E.; García-Habeych, José M.; Castilla-Puentes, Ruby C.",N,No air pollutants mentioned only discusses neurological conditions without linking to air pollution.
Differential diagnosis and prognosis of delayed neuropsychiatric sequelae after acute carbon monoxide poisoning in a patient with schizophrenia: A case report,2024,"Satake, Y.; Mamiya, Y.; Kano, S.; Akizuki, K.; Hashimoto, M.; Ikeda, M.",N,"The study is a case report, not an observational study, and does not focus on Parkinson's as an outcome related to air pollution."
Differential diagnosis of bilateral parietal abnormalities in I-123 IMP SPECT imaging,1990,"Yasuo, K.; Yuichi, I.; Makoto, O.; Takashi, T.; Fukumura, F.; Ranjan, G.; Kouji, M.",N,The study does not focus on air pollution or link Parkinson's to any of the specified air pollutants.
Differential diagnosis of Parkinson's disease,1999,"Adler, C.H.",N,The study does not mention air pollutants or link Parkinson's to them.
Differential diagnosis of Parkinsonism,1999,"Stoessl, A.J.; Rivest, J.",N,The article does not mention air pollutants or link Parkinson's to them.
Digging Its Own Site: Linear Coordination Stabilizes a Pt(1)/Fe(2)O(3) Single-Atom Catalyst,2024,"Rafsanjani-Abbasi, Ali; Buchner, Florian; Lewis, Faith J.; Puntscher, Lena; Kraushofer, Florian; Sombut, Panukorn; Eder, Moritz; Pavelec, Jiří; Rheinfrank, Erik; Franceschi, Giada; Birschitzky, Viktor; Riva, Michele; Franchini, Cesare; Schmid, Michael; Diebold, Ulrike; Meier, Matthias; Madsen, Georg K. H.; Parkinson, Gareth S.",N,"The article does not mention air pollutants or Parkinson's disease, focusing instead on single-atom catalysts."
Direct electrochemical reduction of hematite decorated graphene oxide (α-Fe(2)O(3)@erGO) nanocomposite for selective detection of Parkinson's disease biomarker,2018,"Mathew, Georgeena; Dey, Parama; Das, Rituparna; Chowdhury, Sreemayee Dutta; Paul Das, Merina; Veluswamy, Pandiyarasan; Neppolian, Bernaurdshaw; Das, Jayabrata",N,"The study does not mention any air pollutants CO, O3, NO2 and focuses on a biomarker for Parkinson's, not its relation to air pollution."
DJ1 represses glycolysis and cell proliferation by transcriptionally up-regulating Pink1,2015,"Requejo-Aguilar, Raquel; Lopez-Fabuel, Irene; Jimenez-Blasco, Daniel; Fernandez, Emilio; Almeida, Angeles; Bolaños, Juan P.",N,The study does not mention any air pollutants or link Parkinson's to air pollution.
Do the UK workplace Radon Action Levels reflect the radiation dose received by the occupants?,1999,"Denman, A. R.; Barker, S. P.; Parkinson, S.; Marley, F.; Phillips, P. S.",N,"The study focuses on radon exposure, not air pollutants or Parkinson's disease."
Do toenail manganese and iron levels reflect brain metal levels or brain metabolism in welders?,2024,"Nossa, Gianna; Monsivais, Humberto; Lee, Chang Geun; Francis, Grace; Wells, Ellen M.; Park, Jae Hong; Dydak, Ulrike",N,"The study does not mention any of the specified air pollutants CO, O3, NO2 or link them to Parkinson's disease."
Dose-dependent progression of parkinsonism in manganese-exposed welders,2017,"Racette, Brad A.; Searles Nielsen, Susan; Criswell, Susan R.; Sheppard, Lianne; Seixas, Noah; Warden, Mark N.; Checkoway, Harvey",N,"The study focuses on manganese exposure, not the specified air pollutants CO, O3, NO2 related to Parkinson's."
"Dose-effect relationships between manganese exposure and neurological, neuropsychological and pulmonary function in confined space bridge welders",2007,"Bowler, Rosemarie M.; Roels, Harry A.; Nakagawa, Sanae; Drezgic, Marija; Diamond, Emily; Park, Robert; Koller, William; Bowler, Russell P.; Mergler, Donna; Bouchard, Maryse; Smith, Donald; Gwiazda, Roberto; Doty, Richard L.",N,"The study focuses on manganese exposure, not the specified air pollutants CO, O3, NO2 or Parkinson's disease."
Downregulated expression of microRNA-329 inhibits apoptosis of nigral dopaminergic neurons by regulating CDKN2D expression via the FoxO3a signaling pathway in rats with Parkinson's disease,2018,"Liu, Y.-Y.; Zhang, Y.-N.; Yang, Q.-S.",N,"The study is based on a rat model and does not involve human populations, thus not meeting the inclusion criteria."
"Downregulation of E3 ubiquitin ligases and mitophagy-related genes in skeletal muscle of physically inactive, frail older women: a cross-sectional comparison",2014,"Drummond, Micah J.; Addison, Odessa; Brunker, Lucille; Hopkins, Paul N.; McClain, Donald A.; LaStayo, Paul C.; Marcus, Robin L.",N,No mention of air pollutants or Parkinson's as an adverse health outcome.
Drug-induced parkinsonism: a review,1994,"Montastruc, J. L.; Llau, M. E.; Rascol, O.; Senard, J. M.",N,The article is a review and does not focus on observational studies related to air pollution and Parkinson's.
Dysregulation of a Heme Oxygenase-Synuclein Axis in Parkinson Disease,2022,"Cressatti, Marisa; Schipper, Hyman M.",N,The article is a review and does not present primary or secondary observational study data.
Dysregulation of respiratory center drive (P0.1) and muscle strength in patients with early stage idiopathic Parkinson's disease,2019,"Zhang, W.; Zhang, L.; Zhou, N.; Huang, E.; Li, Q.; Wang, T.; Ma, C.; Li, B.; Li, C.; Du, Y.; Zhang, J.; Lei, X.; Ross, A.; Sun, H.; Zhu, X.",N,"No air pollutant is mentioned the study focuses on pulmonary function without linking to CO, O3, or NO2."
Early Alzheimer's and Parkinson's disease pathology in urban children: Friend versus Foe responses--it is time to face the evidence,2013,"Calderón-Garcidueñas, Lilian; Franco-Lira, Maricela; Mora-Tiscareño, Antonieta; Medina-Cortina, Humberto; Torres-Jardón, Ricardo; Kavanaugh, Michael",N,"No air pollutants CO, O3, NO2 mentioned only discusses particulate matter and does not link to Parkinson's as related to air pollution."
Early gray matter atrophy and neurological deficits in patients with carbon monoxide poisoning,2023,"Zhang, Y.; Wang, T.; Wang, S.; Gao, Y.; Wang, S.; Guo, S.; Lei, J.",N,"The study focuses on neurological deficits in carbon monoxide poisoning, not explicitly linking Parkinson's as an adverse health outcome."
Early white matter injuries associated with dopamine transporter dysfunction in patients with acute CO intoxication: A diffusion kurtosis imaging and Tc-99m TRODAT-1 SPECT study,2019,"Chou, M.-C.; Lai, P.-H.; Li, J.-Y.",N,The study focuses on CO intoxication and dopamine dysfunction but does not explicitly mention Parkinson's as an adverse health outcome.
Effect of altered human exposome on the skin and mucosal epithelial barrier integrity,2023,"Pat, Y.; Öǧülür, I.; Yazici, D.; Mitamura, Y.; Cevhertas, L.; Küçükkase, O.C.; Mesisser, S.S.; Akdiş, M.; Nadeau, K.; Akdiş, C.A.",N,No mention of air pollutants or Parkinson's as an adverse health outcome.
Effect of heat waves on morbidity and mortality due to Parkinson's disease in Madrid: A time-series analysis,2016,"Linares, Cristina; Martinez-Martin, Pablo; Rodríguez-Blázquez, Carmen; Forjaz, Maria João; Carmona, Rocío; Díaz, Julio",N,"No air pollutants CO, O3, NO2 are mentioned only temperature is discussed."
Effect of long-term particulate matter exposure on Parkinson's risk,2020,"Wang, Yiqi; Liu, Ying; Yan, Hong",N,"The study focuses on particulate matter PM and does not mention the required air pollutants: CO, O3, or NO2."
"Effect of maghemite nanoparticles on insulin amyloid fibril formation: selective labeling, kinetics, and fibril removal by a magnetic field",2009,"Skaat, Hadas; Sorci, Mirco; Belfort, Georges; Margel, Shlomo",N,The study does not mention any air pollutants or explicitly link Parkinson's to air pollution.
Effect of Ozone Exposure on Dendritic Spines of CA1 Pyramidal Neurons of the Dorsal Hippocampus and on Object–place Recognition Memory in Rats,2019,"Bello-Medina, P.C.; Prado-Alcala, R.A.; Rivas-Arancibia, S.",N,"Study focuses on rats, not human population does not meet inclusion criteria."
Effect of prolonged exposure to diesel engine exhaust on proinflammatory markers in different regions of the rat brain,2010,"Gerlofs-Nijland, Miriam E.; van Berlo, Damien; Cassee, Flemming R.; Schins, Roel P. F.; Wang, Kate; Campbell, Arezoo",N,"The study focuses on rats, not humans, and does not mention the specified air pollutants CO, O3, NO2 related to Parkinson's."
Effect of subchronic exposure to ambient fine and ultrafine particles on rat motor activity and ex vivo striatal dopaminergic transmission,2023,"Andrade-Oliva, María-de-Los-Angeles; Debray-García, Yazmín; Morales-Figueroa, Guadalupe-Elide; Escamilla-Sánchez, Juan; Amador-Muñoz, Omar; Díaz-Godoy, Raúl V.; Kleinman, Michael; Florán, Benjamín; Arias-Montaño, José-Antonio; De Vizcaya-Ruiz, Andrea",N,"Study focuses on rats, not human population does not meet inclusion criteria."
Effect of Surface Charge Density of a w/o/w Emulsion on the Brain Targeting of Levodopa in Rats for the Treatment of Parkinson’s Disease,2022,"Ramani, C.C.; Babu, R.; Dhanasekaran, M.; Apte, S.S.; Rambhau, D.",N,"The study focuses on a drug formulation for Parkinson's treatment, not on air pollution or its effects."
"Effect of wild-type or mutant parkin on oxidative damage, nitric oxide, antioxidant defenses, and the proteasome",2002,"Hyun, D.-H.; Lee, M.; Hattori, N.; Kubo, S.-I.; Mizuno, Y.; HALLIWELL, B.; Jenner, P.",N,"The study does not mention any of the specified air pollutants CO, O3, NO2 related to Parkinson's."
Effects of 6-Week Use of Very Low Nicotine Content Cigarettes in Smokers with Serious Mental Illness,2019,"Tidey, J.W.; Colby, S.M.; Denlinger-Apte, R.L.; Goodwin, C.; Cioe, P.A.; Cassidy, R.N.; Swift, R.M.; Lindgren, B.R.; Rubin, N.; Murphy, S.E.; Hecht, S.S.; Hatsukami, D.K.; Donny, E.C.",N,The study does not mention Parkinson's as an adverse health outcome related to air pollutants.
Effects of air pollution on human health and practical measures for prevention in Iran,2016,"Ghorani-Azam, A.; Riahi-Zanjani, B.; Balali-Mood, M.",N,The article is a review and does not present primary or secondary observational studies.
Effects of air pollution on the nervous system and its possible role in neurodevelopmental and neurodegenerative disorders,2020,"Costa, Lucio G.; Cole, Toby B.; Dao, Khoi; Chang, Yu-Chi; Coburn, Jacki; Garrick, Jacqueline M.",Y,"The abstract mentions Parkinson's disease and discusses air pollution, meeting all inclusion criteria."
"Effects of ambient air pollution on incident Parkinson’s disease in Ontario, 2001 to 2013: A population-based cohort study",2018,"Shin, S.; Burnett, R.T.; Kwong, J.C.; Hystad, P.; van Donkelaar, A.; Brook, J.R.; Copes, R.; Tu, K.; Goldberg, M.S.; Villeneuve, P.J.; Martin, R.V.; Murray, B.J.; Wilton, A.S.; Kopp, A.; Chen, H.",Y,"The study is in English, is a population-based cohort study, mentions NO and ozone, and explicitly links them to Parkinson's disease."
"Effects of exposure to surrounding green, air pollution and traffic noise with non-accidental and cause-specific mortality in the Dutch national cohort",2021,"Klompmaker, J.O.; Janssen, N.; Bloemsma, L.D.; Marra, M.; Lebret, E.; Gehring, U.; Hoek, G.",N,No mention of Parkinson's as an adverse health outcome related to air pollution.
Effects of intravascular laser phototherapy on delayed neurological sequelae after carbon monoxide intoxication as evaluated by brain perfusion imaging: A case report and review of the literature,2021,"Liu, C.C.; Hsu, C.S.; He, H.C.; Cheng, Y.Y.; Chang, S.T.",N,"This is a case report, not an observational study, and does not meet the inclusion criteria."
Effects of ozone treatment to the levels of neurodegeneration biomarkers after rotenone induced rat model of Parkinson's disease,2023,"Kaplan Algin, A.; Tomruk, C.; Gözde Aslan, Ç.; Şaban Akkurt, S.; Mehtap Çinar, G.; Ulukaya, S.; Uyanikgil, Y.; Akcay, Y.",N,"The study is experimental on rats, not observational on humans, and does not meet inclusion criteria."
Effects of particulate matter and nicotine for the MPP+-induced SH-SY5Y cells: Implication for Parkinson's disease,2021,"Jung, Yu Jin; Choi, Hyunsu; Oh, Eungseok",N,"The study focuses on particulate matter PM and does not mention the required air pollutants CO, O3, NO2 or link them to Parkinson's."
Effects of pulmonary exposure to chemically-distinct welding fumes on neuroendocrine markers of toxicity,2017,"Krajnak, K.; Sriram, K.; Johnson, C.; Roberts, J. R.; Mercer, R.; Miller, G. R.; Wirth, O.; Antonini, J. M.",N,"No air pollutants CO, O3, NO2 mentioned focuses on welding fumes and manganese, not relevant to the review criteria."
Effects of subchronic exposures to concentrated ambient particles. VII. Degeneration of dopaminergic neurons in Apo E-/- mice,2005,"Veronesi, Bellina; Makwana, Om; Pooler, Melanie; Chen, Lung Chi",N,"No air pollutants CO, O3, NO2 mentioned only discusses concentrated ambient particulates."
Effects of ultrafine diesel exhaust particles on oxidative stress generation and dopamine metabolism in PC-12 cells,2014,"Kim, Y.-D.; Lantz-McPeak, S.M.; Ali, S.F.; Kleinman, M.T.; Choi, Y.-S.; Kim, H.",N,"The study focuses on diesel exhaust particles, not the specified air pollutants CO, O3, NO2 related to Parkinson's."
Electrochemically reduced fullerene–graphene oxide interface for swift detection of Parkinsons disease biomarkers,2016,"Ahmad Rather, J.A.; Khudaish, E.A.; Munam, A.; Qurashi, A.; Kannan, P.",N,No air pollutants mentioned focuses on detection methods rather than the relationship between air pollution and Parkinson's.
"Elegant Nematodes Improve Our Understanding of Human Neuronal Diseases, the Role of Pollutants and Strategies of Resilience",2023,"von Mikecz, Anna",N,"Does not mention any of the specified air pollutants CO, O3, NO2 or link them to Parkinson's disease."
Elemental content of vegetables and millet grown in potted soil amended with lignite fly ash,1981,"Furr, A. K.; Parkinson, T. F.; Bache, C. A.; Gutenmann, W. H.; Pakkala, I. S.; Lisk, D. J.",N,The study does not mention any air pollutants or Parkinson's disease.
Elevation of heme oxygenase-1 by proteasome inhibition affords dopaminergic neuroprotection,2010,"Yamamoto, N.; Izumi, Y.; Matsuo, T.; Wakita, S.; Kume, T.; Takada-Takatori, Y.; Sawada, H.; Akaike, A.",N,"No air pollutants mentioned focuses on proteasome inhibition and neuroprotection without linking to CO, O3, or NO2."
Encephalopathy: A vicious cascade following forebrain ischemia and hypoxia,2013,"Lin, B.",N,No mention of air pollutants focuses on ischemia and encephalopathy without linking to Parkinson's as an outcome related to air pollution.
Endophilin-A Deficiency Induces the Foxo3a-Fbxo32 Network in the Brain and Causes Dysregulation of Autophagy and the Ubiquitin-Proteasome System,2016,"Murdoch, J.D.; Rostosky, C.M.; Gowrisankaran, S.; Arora, A.S.; Soukup, S.-F.; Vidal, R.; Capece, V.; Freytag, S.; Fischer, A.; Verstreken, P.; Bonn, S.; Raimundo, N.; Milošević, I.",N,The study does not mention any air pollutants or Parkinson's as an adverse health outcome.
Enhancing self-report of adolescent smoking: the effects of bogus pipeline and anonymity,2008,"Adams, Jane; Parkinson, Lynne; Sanson-Fisher, Rob W.; Walsh, Raoul A.",N,The study focuses on adolescent smoking and does not mention Parkinson's or air pollutants related to it.
Environmental effects on immune responses in patients with atopy and asthma,2014,"Miller, R.L.; Peden, D.B.",N,"The study focuses on asthma, not Parkinson's disease, and does not mention any of the specified air pollutants."
"Environmental exposure to manganese in air: Tremor, motor and cognitive symptom profiles",2018,"Kornblith, E. S.; Casey, S. L.; Lobdell, D. T.; Colledge, M. A.; Bowler, R. M.",N,"No air pollutants CO, O3, NO2 mentioned focuses on manganese exposure instead."
Environmental exposures and gene regulation in disease etiology,2008,"Edwards, Thea M.; Myers, John Peterson",N,The article is a review and does not present original observational study data on air pollutants and Parkinson's.
"Environmental factors and Parkinson's disease: A case-control study in Belgrade, Serbia",2010,"Vlajinać, V.D.; Šipetić-Grujičić, S.B.; Maksimović, J.M.; Marinkovič, J.M.; Džoljić, E.D.; Vujčić, I.S.; Kostic, V.S.",N,"No air pollutants CO, O3, NO2 mentioned only discusses insecticides and other factors."
Environmental lead-210 and bismuth-210 accrue selectively in the brain proteins in Alzheimer disease and brain lipids in Parkinson disease,2001,"Momcilović, B.; Alkhatib, H. A.; Duerre, J. A.; Cooley, M.; Long, W. M.; Harris, T. R.; Lykken, G. I.",N,"No air pollutants CO, O3, NO2 mentioned focuses on radon daughters and does not link to air pollution."
"Environmental Nanoparticles, SARS-CoV-2 Brain Involvement, and Potential Acceleration of Alzheimer's and Parkinson's Diseases in Young Urbanites Exposed to Air Pollution",2020,"Calderón-Garcidueñas, L.; Torres-Jardón, R.; Franco-Lira, M.; Kulesza, R.; Gonzalez-Maciel, A.; Reynoso-Robles, R.; Brito-Aguilar, R.; Garcia-Arreola, B.; Revueltas-Ficachi, P.; Barrera-Velázquez, J.A.; García-Alonso, G.; García-Rojas, E.; Mukherjee, P.S.; Delgado-Chávez, R.",N,The article is a review and does not present primary or secondary observational study data.
"Environmental Nanoparticles, SARS-CoV-2 Brain Involvement, and Potential Acceleration of Alzheimer's and Parkinson's Diseases in Young Urbanites Exposed to Air Pollution",2020,"Calderón-Garcidueñas, L.; Torres-Jardón, R.; Franco-Lira, M.; Kulesza, R.; Gonzalez-Maciel, A.; Reynoso-Robles, R.; Brito-Aguilar, R.; Garcia-Arreola, B.; Revueltas-Ficachi, P.; Barrera-Velázquez, J.A.; García-Alonso, G.; García-Rojas, E.; Mukherjee, P.S.; Delgado-Chávez, R.",N,The article is a review and does not present primary or secondary observational study data.
Environmental neurology: A promising new field of practice and research,2007,"Reis, J.; Róman, G.C.",N,No mention of air pollutants or Parkinson's as an adverse health outcome.
Environmental pollution and brain function,2024,"Gale, S.D.; Farrer, T.J.; Hedges, D.W.; Kharazi, H.",Y,"The study mentions nitrogen oxide and carbon monoxide, links air pollution to Parkinson's, and is observational."
Environmental pollution and mental health: A narrative review of literature,2021,"Ventriglio, A.; Bellomo, A.; Di-Gioia, I.; Di Sabatino, D.; Favale, D.; De Berardis, D.; Cianconi, P.",N,The article is a narrative review and does not focus on observational studies or mention Parkinson's disease.
Environmental Risk Factors for Parkinson's Disease: A Critical Review and Policy Implications,2025,"Atterling Brolin, Kajsa; Schaeffer, Eva; Kuri, Ashvin; Rumrich, Isabell Katharina; Schumacher Schuh, Artur Francisco; Darweesh, Sirwan K. L.; Kaasinen, Valtteri; Tolppanen, Anna-Maija; Chahine, Lana M.; Noyce, Alastair J.",N,The article is a review and does not present original observational study data.
Environmental risk factors in Parkinson's disease,1999,"Kuopio, A.-M.; Marttila, R.J.; Helenius, H.; Rinne, U.K.",N,"No air pollutants mentioned focuses on domestic animals and environmental factors unrelated to CO, O3, or NO2."
Environmental tobacco smoke and Parkinson's disease,2012,"Searles Nielsen, Susan; Gallagher, Lisa G.; Lundin, Jessica I.; Longstreth, W. T. Jr; Smith-Weller, Terri; Franklin, Gary M.; Swanson, Phillip D.; Checkoway, Harvey",N,"No air pollutants CO, O3, NO2 mentioned focuses on environmental tobacco smoke and Parkinson's."
"Environmental toxicants and Parkinson's disease: recent evidence, risks, and prevention opportunities",2025,"Dorsey, E. Ray; De Miranda, Briana R.; Hussain, Sarrah; Bloem, Bastiaan R.; Elbaz, Alexis; Llibre-Guerra, Jorge; Lo, Raymond Y.; Goldman, Samuel M.; Tanner, Caroline M.",N,"No specific mention of the required air pollutants CO, O3, NO2 in relation to Parkinson's disease."
Environmental toxins and Parkinson's disease,2014,"Goldman, Samuel M.",N,The article is a review summarizing environmental toxicology and does not present original observational study data.
Environmental toxins in neurodegeneration - a narrative review,2025,"Kulcsárová, Kristína; Piel, Johannes Heinrich Alexander; Schaeffer, Eva",N,The article is a narrative review and does not present primary or secondary observational studies.
Environmental-induced oxidative stress in neurodegenerative disorders and aging,2009,"Migliore, Lucia; Coppedè, Fabio",N,"No specific mention of air pollutants CO, O3, NO2 or their relation to Parkinson's disease."
Environmentally Toxic Solid Nanoparticles in Noradrenergic and Dopaminergic Nuclei and Cerebellum of Metropolitan Mexico City Children and Young Adults with Neural Quadruple Misfolded Protein Pathologies and High Exposures to Nano Particulate Matter,2022,"Calderón-Garcidueñas, L.; Gonzalez-Maciel, A.; Reynoso-Robles, R.; Silva-Pereyra, H.G.; Torres-Jardón, R.; Brito-Aguilar, R.; Ayala, A.; Stommel, E.W.; Delgado-Chávez, R.",N,"No mention of CO, O3, or NO2 focuses on nanoparticles and neurodegeneration without linking to Parkinson's."
Enzymatic synthesis of no-carrier-added 6-[18F]fluoro-L-dopa with β- tyrosinase,1999,"Kaneko, S.; Ishiwata, K.; Hatano, K.; Omura, H.; Ito, K.; Senda, M.",N,The article does not mention any air pollutants or Parkinson's as an adverse health outcome.
"Epigenetic Biomarkers Driven by Environmental Toxins Associated with Alzheimer's Disease, Parkinson's Disease, and Amyotrophic Lateral Sclerosis in the United States: A Systematic Review",2025,"Newell, Melanie Engstrom; Aravindan, Anumitha; Babbrah, Ayesha; Halden, Rolf U.",N,The article is a systematic review and does not present primary or secondary observational studies.
EPO-dependent activation of PI3K/Akt/FoxO3a signalling mediates neuroprotection in in vitro and in vivo models of Parkinson's disease,2014,"Jia, Yu; Mo, Shi-Jing; Feng, Qi-Qi; Zhan, Ma-Li; OuYang, Li-Si; Chen, Jia-Chang; Ma, Yu-Xin; Wu, Jia-Jia; Lei, Wan-Long",N,The study does not mention any air pollutants related to Parkinson's disease.
Estrogen counteracts ozone-induced oxidative stress and nigral neuronal death,2006,"Angoa-Peréz, M.; Jiang, H.; Rodríguez, A.I.; Lemini, C.; Levine, R.A.; Rivas-Arancibia, S.",N,"Study uses rats, not human population does not meet observational study criteria."
Etiologies and delirium rates of elderly ED patients with acutely altered mental status: a multicenter prospective study,2017,"Aslaner, M.A.; Boz, M.; Çelik, A.; Ahmedali, A.; Eroğlu, S.; Metin Aksu, N.; Eroǧlu, S.E.",N,The study does not mention air pollutants or Parkinson's as an adverse health outcome.
